i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;2;NelderMead;10;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;RandomSearch;1;53.22092084655691;54.772470814585304;1.0168258570656832;6.601299226087498;-11.001142027852786
1;2;RandomSearch;2;63.96580856917188;62.478618964489044;-1.305556325356271;-4.595687978667193;18.475509102121848
1;2;RandomSearch;3;10.771822544894963;11.23930046938075;0.13506272173178502;2.742350784750357;0.8557402970454362
1;2;RandomSearch;4;41.909297235115666;42.66020128780328;-0.1491138255849478;0.6885219076839775;2.706412620037703
1;2;RandomSearch;5;45.15512309177539;46.260150960775334;0.15946703508173954;-3.1138161562837183;10.917048256992615
1;2;RandomSearch;6;48.937657048941595;45.25377294864278;0.9800687933733556;7.621456219992886;-8.837310744601098
1;2;RandomSearch;7;39.99564596558432;40.798349050224076;-0.31190537492476267;5.992842127994045;-4.296576034170144
1;2;RandomSearch;8;42.76031557687861;41.96329198453051;-1.2003017611907438;0.17166997755448676;9.253305526539677
1;2;RandomSearch;9;36.29722608496666;36.940096919646166;0.3388797340000309;8.98716647078249;-9.14050199316683
1;2;RandomSearch;10;40.878714932923735;39.4062151142416;-0.18430938931535223;3.262895899053433;3.274734693547231
1;2;ScrHammersleySearch;1;32.82241285483661;34.70596181849414;0.32499999999999574;8.50830078125;-8.695320835238533
1;2;ScrHammersleySearch;2;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;2;ScrHammersleySearch;3;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;2;ScrHammersleySearch;4;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;2;ScrHammersleySearch;5;32.82241285483661;34.70596181849414;0.32499999999999574;8.50830078125;-8.695320835238533
1;2;ScrHammersleySearch;6;32.82241285483661;34.70596181849414;0.32499999999999574;8.50830078125;-8.695320835238533
1;2;ScrHammersleySearch;7;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;2;ScrHammersleySearch;8;32.82241285483661;34.70596181849414;0.32499999999999574;8.50830078125;-8.695320835238533
1;2;ScrHammersleySearch;9;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;2;ScrHammersleySearch;10;41.875389973430046;48.17307016045286;0.375;-3.99169921875;10.387136107300712
1;3;OnePlusOne;1;7.919476588231329;8.336710472082883;0.04090024624475106;2.9967668438414585;0.5028687193633428
1;3;OnePlusOne;2;7.92139537530925;8.340284447026944;0.04119299610023693;2.988921024608944;0.5113666170074199
1;3;OnePlusOne;3;7.922258995725713;8.341893045378102;0.04132475889713287;2.985389726243014;0.5151914071505443
1;3;OnePlusOne;4;7.908409893034653;8.299778140023829;0.03741251689385598;3.096051237920634;0.39660419869739194
1;3;OnePlusOne;5;7.91895898328781;8.335720475519768;0.04080813171888443;2.998973202999824;0.5005785534217784
1;3;OnePlusOne;6;7.918707652124287;8.335310653174362;0.04064508239905694;3.000485263900967;0.49964195698726216
1;3;OnePlusOne;7;7.922826231527039;8.342949591237096;0.041411302214335574;2.983070328947618;0.5177035732138499
1;3;OnePlusOne;8;7.907868890001966;8.301012168418891;0.03723097376856895;3.093283612972877;0.4004659611830417
1;3;OnePlusOne;9;7.907808117398791;8.300315405502841;0.037936250891809783;3.091587256473409;0.3996196258489706
1;3;OnePlusOne;10;7.907733035409483;8.300550444065147;0.03785648017475773;3.0913080294261834;0.400248950837577
1;3;DE;1;7.914343376415796;8.316088368287385;0.042319471745998136;3.0329483291990065;0.45099188336604945
1;3;DE;2;7.907017315141716;8.304459809583275;0.037342086324420716;3.0808374836895145;0.41500233407019615
1;3;DE;3;7.957406516876922;8.366859261229846;0.03463258565130316;2.9622103057188025;0.6078787794078954
1;3;DE;4;7.921963908117827;8.343806644642092;0.038636525222276806;2.99593002221398;0.5164932641925669
1;3;DE;5;7.957580709279043;8.326712353851864;0.020996618453534108;3.166503571565164;0.39212152765404407
1;3;DE;6;7.918960015960487;8.288166367456189;0.04215836035211898;3.1158459202924136;0.3493319535591466
1;3;DE;7;7.910255524449417;8.302689257070275;0.04126114079446142;3.064098218248551;0.41933251812033767
1;3;DE;8;25.583725518263716;22.72693050390682;-0.2670922248729781;-0.8902020525375594;7.909102686891622
1;3;DE;9;7.910550410242342;8.29943935197667;0.04155916095756394;3.0718189736759047;0.40954270731658604
1;3;DE;10;7.926972360490568;8.287440804803344;0.041327470589147035;3.140049071817809;0.3146079628418345
1;3;RealSpacePSO;1;7.907001091099969;8.30456591167789;0.037351633171999694;3.0810965869227984;0.4142914946861128
1;3;RealSpacePSO;2;7.90700111745357;8.304565856260746;0.03735174567211448;3.081098966490384;0.41428665971667433
1;3;RealSpacePSO;3;7.907001076995934;8.30456617100742;0.03735162394269625;3.081097864271155;0.41428887311170537
1;3;RealSpacePSO;4;7.9070237747864525;8.30415374363987;0.03736763508334765;3.07908259056804;0.4184205034741002
1;3;RealSpacePSO;5;7.9070010800735275;8.30456615014364;0.03735163360888943;3.0810979444220594;0.4142887026436001
